,nome,area_calculada_m2,area_referencia_m2,dif_m2,dif_percentual
0,BARRA DA LAGOA,8095773.341728508,8089401.33,6372.011728507467,0.07876988010072516
1,CACHOEIRA DO BOM JESUS,30227031.305774465,30203152.02,23879.28577446565,0.07906223085144624
2,CAMPECHE,34562659.71573576,34538330.49,24329.225735761225,0.07044123265542712
3,CANASVIEIRAS,29125854.71779325,29104773.259999998,21081.45779325068,0.07243299099060112
4,COQUEIROS,3687669.147742184,3685464.19,2204.957742183935,0.0598284945534618
5,ESTREITO,8301167.379622333,8296196.83,4970.549622332677,0.059913593230558365
6,INGLESES,19456546.178221982,19440261.54,16284.638221982867,0.08376758814934579
7,LAGOA DA CONCEI��O,51188606.54141468,51150091.75,38514.7914146781,0.07529759986144716
8,P�NTANO DO SUL,47634539.32940387,47602610.89999999,31928.42940387875,0.06707285335871935
9,RATONES,32386084.06809267,32362172.34,23911.72809267044,0.07388789553881486
10,RIBEIR�O DA ILHA,30150281.611967105,30131084.94,19196.671967104077,0.06371052355177516
11,RIO VERMELHO,31360696.862527605,31335430.14,25266.72252760455,0.08063308023766783
12,SACO DOS LIM�ES,7282264.726887013,7277371.34,4893.386887012981,0.06724113224945014
13,SACO GRANDE,18877260.679851722,18863890.04,13370.639851722866,0.07087954723745234
14,SANTO ANT�NIO DE LISBOA,21527324.939306892,21512461.3,14863.63930689171,0.06909316000439109
15,SEDE,7887260.481919299,7882128.58,5131.901919298805,0.06510807159782218
16,TAPERA DA BASE,24914617.684078515,24898396.66,16221.024078514427,0.06514887002573132
17,TRINDADE,26564209.518310126,26545689.47,18520.04831012711,0.06976668784985644
